Quelle civilisation a construit les pyramides de Gizeh?,Égyptiens,Grecs,Romains 
Qui était le premier président des États-Unis?,George Washington,Thomas Jefferson,Abraham Lincoln
Où a eu lieu la Révolution française?,France,Angleterre,Allemagne
Quelle est la capitale de l'Allemagne?,Berlin,Paris,Rome
Quel événement a marqué le début de la Première Guerre mondiale?,L'assassinat de l'archiduc François-Ferdinand,La Révolution russe,La bataille de Waterloo
Qui était la reine d'Égypte célèbre pour sa relation avec Marc Antoine et Jules César?,Cléopâtre,Néfertiti,Isabelle
En quelle année Christophe Colomb a-t-il découvert l'Amérique?,1492,1776,1648
Quelle bataille a mis fin à la guerre d'indépendance américaine?,Yorktown,Gettysburg,Saratoga
Quel empereur romain a construit le Colisée?,Vespasien,Néron,Auguste
Quel explorateur a atteint l'Inde par voie maritime en contournant l'Afrique?,Vasco de Gama,Marco Polo,Christophe Colomb
Quel document a été adopté le 4 juillet 1776,déclarant l'indépendance des États-Unis?,La Déclaration d'indépendance,La Constitution,Les Articles de la Confédération
Quelle est la période historique souvent appelée l'Âge des ténèbres?,Moyen Âge,Renaissance,Antiquité
Qui était le roi de France pendant la Révolution française?,Louis XVI,Louis XIV,Napoléon Bonaparte
Quelle ville a été la capitale de l'Empire romain d'Occident?,Rome,Constantinople,Athènes
Quel événement a déclenché la Seconde Guerre mondiale?,L'invasion de la Pologne par l'Allemagne,L'attaque de Pearl Harbor,La chute de France
Quel dirigeant soviétique a succédé à Lénine?,Staline,Trotsky,Khrushchev
Qui était le leader des forces alliées pendant la Seconde Guerre mondiale?,Winston Churchill,Franklin D. Roosevelt,Joseph Staline
Quel explorateur italien a ouvert la route maritime vers l'Asie en contournant le cap de Bonne-Espérance?,Vasco de Gama,Marco Polo,Christophe Colomb
Où a eu lieu la bataille de Waterloo?,Belgique,France,Allemagne
Quelle guerre a été combattue entre le Nord et le Sud des États-Unis?,Guerre de Sécession,Guerre de l'Indépendance,Guerre de 1812
Quel célèbre égyptologue a découvert la tombe de Toutânkhamon en 1922?,Howard Carter,Indiana Jones,Jacques Cousteau
Quel empereur romain a ordonné la construction du Mur d'Hadrien en Grande-Bretagne?,Hadrien,Auguste,Néron
Quel événement a marqué la fin de la Guerre froide?,Chute du mur de Berlin,Crise de Cuba,Guerre du Vietnam
Qui était le fondateur de l'Empire mongol au XIIIe siècle?,Gengis Khan,Tamerlan,Kubilai Khan
Quelle reine d'Angleterre a donné son nom à une époque marquée par un grand essor culturel et artistique?,Élisabeth Ière,Marie Stuart,Victoria
Quelle était la principale civilisation précolombienne en Amérique centrale?,Aztèques,Incas,Mayas
Quelle guerre a été combattue entre la France et l'Angleterre au XIVe et au XVe siècle?,Guerre de Cent Ans,Guerre de Sept Ans,Guerre des Roses
Quel navigateur portugais a réalisé le premier tour du monde?,Fernand de Magellan,Vasco de Gama,Bartolomeu Dias
Quel empereur romain a adopté le christianisme comme religion d'État?,Constantin,Auguste,Néron
Quelle bataille a été décisive pour la victoire des forces alliées sur le front occidental pendant la Première Guerre mondiale?,Bataille de la Somme,Bataille de Verdun,Bataille de Stalingrad
Quelle dynastie chinoise a construit la Grande Muraille de Chine?,Qin,Han,Ming
Quel explorateur portugais a découvert la route maritime vers l'Inde par le cap de Bonne-Espérance?,Vasco de Gama,Fernand de Magellan,Bartolomeu Dias
Quel événement a marqué le début de la Révolution industrielle?,L'invention de la machine à vapeur,La découverte de l'électricité,La Révolution française
Qui était le leader politique sud-africain emprisonné pendant de nombreuses années avant de devenir président en 1994?,Nelson Mandela,Desmond Tutu,F.W. de Klerk
Quel philosophe grec est considéré comme le père de la philosophie occidentale?,Socrate,Platon,Aristote
Quel événement a marqué la fin de la guerre du Vietnam en 1975?,Chute de Saïgon,Accords de Paris,Bataille de Hué
Quel empereur romain a construit le Panthéon à Rome?,Hadrien,Auguste,Néron
Quel traité a mis fin à la Première Guerre mondiale en 1919?,Traité de Versailles,Traité de Trianon,Traité de Brest-Litovsk
Qui était le premier homme à poser le pied sur la lune en 1969?,Neil Armstrong,Buzz Aldrin,Michael Collins
Quel événement a marqué le début de la Révolution russe en 1917?,La prise du Palais d'Hiver,L'assassinat de Raspoutine,La mutinerie du cuirassé Potemkine
Quelle civilisation a construit la cité de Machu Picchu au Pérou?,Incas,Aztèques,Mayas
Quelle guerre a été combattue entre la Chine et le Japon de 1937 à 1945?,Seconde Guerre sino-japonaise,Guerre sino-coréenne,Guerre sino-indienne
Quelle reine d'Égypte a été la dernière de la dynastie ptolémaïque et est célèbre pour son nez en forme de crochets?,Cléopâtre,Néfertiti,Hatchepsout
Quel édifice emblématique a été construit à Athènes au Ve siècle av. J.-C. en l'honneur de la déesse Athéna?,Parthénon,Panthéon,Acropole
Qui était le roi d'Angleterre qui a signé la Magna Carta en 1215?,Jean sans Terre,Richard Cœur de Lion,Henri II
Quel navigateur italien a découvert l'Amérique pour le compte de l'Espagne en 1492?,Christophe Colomb,Marco Polo,Amerigo Vespucci
Quelle guerre a opposé la France et l'Angleterre au XVIIIe siècle,principalement en Amérique du Nord?,Guerre de Sept Ans,Guerre de Cent Ans,Guerre d'indépendance américaine
Quel événement a marqué le début de la guerre du Golfe en 1990?,L'invasion du Koweït par l'Irak,Les attentats du 11 septembre,La révolution iranienne
Quelle femme a joué un rôle clé dans le mouvement des droits civiques aux États-Unis dans les années 1950 et 1960?,Rosa Parks,Amelia Earhart,Eleanor Roosevelt
Quelle bataille a été décisive pour la victoire des forces alliées sur le front occidental pendant la Seconde Guerre mondiale?,Bataille de Normandie,Bataille des Ardennes,Bataille de Midway
Quel empereur romain a ordonné la construction du Colisée?,Vespasien,Néron,Auguste
Quel explorateur espagnol a découvert l'Amérique en 1492?,Christophe Colomb,Ferdinand Magellan,Hernán Cortés
Quel événement a déclenché la Première Guerre mondiale?,L'assassinat de l'archiduc François-Ferdinand,L'attaque de Pearl Harbor,La révolution d'Octobre
Qui était le célèbre empereur mongol qui a conquis un vaste empire au XIIIe siècle?,Gengis Khan,Kubilai Khan,Tamerlan
Quel navigateur portugais a réalisé le premier tour du monde?,Ferdinand Magellan,Vasco de Gama,Bartolomeu Dias
Quel dirigeant soviétique a dirigé l'Union soviétique pendant la majeure partie de la guerre froide?,Staline,Brejnev,Gorbatchev
Quelle civilisation ancienne a construit les pyramides de Teotihuacan au Mexique?,Aztèques,Mayas,Olmèques
Quelle était la capitale de l'Empire byzantin?,Constantinople,Rome,Athènes
Quel empereur romain a adopté le christianisme comme religion officielle de l'Empire?,Constantin,Auguste,Néron
Quel roi anglais a signé la Magna Carta en 1215,limitant le pouvoir royal?,Jean sans Terre,Richard Cœur de Lion,Henri II
Quelle était la dynastie régnante en Angleterre pendant la guerre des Deux-Roses au XVe siècle?,Maison d'York,Maison de Lancastre,Maison de Tudor
Qui était le chef militaire et homme politique français qui a mené les forces alliées pendant les dernières étapes de la Révolution française et pendant les guerres napoléoniennes?,Napoléon Bonaparte,Louis XVI,Robespierre
Quel explorateur portugais a ouvert la voie maritime vers l'Inde en contournant l'Afrique au XVe siècle?,Vasco de Gama,Ferdinand Magellan,Bartolomeu Dias
Quel était le nom du navire sur lequel Christophe Colomb a navigué lors de son premier voyage vers l'Amérique en 1492?,Santa Maria,Pinta,Niña
Quel dirigeant allemand est à l'origine de la politique d'expansion agressive qui a conduit à la Seconde Guerre mondiale?,Adolf Hitler,Kaiser Wilhelm II,Otto von Bismarck
